Rank,Company,Symbol,Weight,Price,Chg,% Chg
387,Jacobs Engineering Group Inc.,J,0.038835,78.73,0.16,0.2
388,Bio-Rad Laboratories Inc. Class A,BIO,0.038786,469.35,-8.31,-1.74
389,Cboe Global Markets Inc,CBOE,0.038567,90.70,-0.85,-0.93
390,Regions Financial Corporation,RF,0.037644,10.35,0.06,0.58
391,Concho Resources Inc.,CXO,0.037205,48.89,-0.35,-0.71
392,NetApp Inc.,NTAP,0.037174,43.40,0.46,1.07
393,Baker Hughes Company Class A,BKR,0.037014,15.06,0.01,0.07
394,Ingersoll Rand Inc.,IR,0.036966,28.63,0.32,1.13
395,Eastman Chemical Company,EMN,0.036334,71.42,1.23,1.75
396,CenturyLink Inc.,CTL,0.035938,9.70,-0.21,-2.12
397,Allegion PLC,ALLE,0.0359,101.75,0.24,0.24
398,AES Corporation,AES,0.035821,14.59,0.23,1.6
399,Hasbro Inc.,HAS,0.035793,73.65,-0.53,-0.71
400,Darden Restaurants Inc.,DRI,0.035578,73.00,0.91,1.26
401,DENTSPLY SIRONA Inc.,XRAY,0.035287,41.80,-0.18,-0.43
402,Advance Auto Parts Inc.,AAP,0.03526,136.67,2.22,1.65
403,Packaging Corporation of America,PKG,0.03523,98.78,-0.11,-0.11
404,Avery Dennison Corporation,AVY,0.035041,112.15,1.11,1.0
405,Lamb Weston Holdings Inc.,LW,0.034781,63.80,0.79,1.25
406,Fortune Brands Home & Security Inc.,FBHS,0.034282,64.30,-0.53,-0.82
407,Western Union Company,WU,0.033804,21.47,0.14,0.66
408,PulteGroup Inc.,PHM,0.033704,33.89,-1.12,-3.2
409,Fox Corporation Class A,FOXA,0.033613,25.00,-0.32,-1.26
410,Royal Caribbean Cruises Ltd.,RCL,0.033445,49.75,-2.02,-3.9
411,Huntington Bancshares Incorporated,HBAN,0.033435,8.60,0.09,1.06
412,Pinnacle West Capital Corporation,PNW,0.033219,79.00,0.74,0.95
413,NiSource Inc,NI,0.033019,24.02,0.45,1.91
414,Raymond James Financial Inc.,RJF,0.03225,69.01,0.07,0.1
415,F5 Networks Inc.,FFIV,0.032199,139.93,-2.59,-1.82
416,Whirlpool Corporation,WHR,0.032158,136.46,0.82,0.6
417,Campbell Soup Company,CPB,0.032088,49.95,-0.33,-0.66
418,Albemarle Corporation,ALB,0.03185,81.00,2.11,2.67
419,Loews Corporation,L,0.031719,34.67,0.17,0.49
420,Henry Schein Inc.,HSIC,0.031701,57.85,0.69,1.21
421,W. R. Berkley Corporation,WRB,0.031684,58.54,0.73,1.26
422,NRG Energy Inc.,NRG,0.031578,33.23,0.27,0.82
423,MGM Resorts International,MGM,0.031541,16.62,0.42,2.59
424,Everest Re Group Ltd.,RE,0.031413,207.68,0.89,0.43
425,United Airlines Holdings Inc.,UAL,0.031368,31.68,-1.0,-3.05
426,Mylan N.V.,MYL,0.031289,16.14,0.04,0.25
427,DISH Network Corporation Class A,DISH,0.030802,32.14,0.27,0.85
428,LKQ Corporation,LKQ,0.029932,25.70,0.05,0.18
429,Host Hotels & Resorts Inc.,HST,0.029456,10.82,-0.02,-0.18
430,Carnival Corporation,CCL,0.029092,15.25,-0.91,-5.63
431,Iron Mountain Inc.,IRM,0.028918,26.67,-0.07,-0.26
432,Juniper Networks Inc.,JNPR,0.028685,22.50,-0.12,-0.53
433,Perrigo Co. Plc,PRGO,0.028409,55.53,0.36,0.65
434,BorgWarner Inc.,BWA,0.027598,35.25,-0.26,-0.73
435,DaVita Inc.,DVA,0.027524,80.07,-1.12,-1.38
436,Globe Life Inc.,GL,0.027482,72.52,0.2,0.28
437,Snap-on Incorporated,SNA,0.027342,133.38,1.48,1.12
438,Universal Health Services Inc. Class B,UHS,0.027256,90.09,0.33,0.37
439,Cabot Oil & Gas Corporation,COG,0.027202,17.01,-0.59,-3.35
440,Regency Centers Corporation,REG,0.027086,42.59,-0.35,-0.82
441,Textron Inc.,TXT,0.02706,32.03,0.97,3.12
442,Wynn Resorts Limited,WYNN,0.027002,81.25,7.12,9.6
443,WestRock Company,WRK,0.026886,27.85,0.1,0.36
444,Lincoln National Corporation,LNC,0.026059,35.10,0.32,0.92
445,Huntington Ingalls Industries Inc.,HII,0.025826,169.62,2.58,1.54
446,A. O. Smith Corporation,AOS,0.02529,48.47,0.2,0.41
447,Live Nation Entertainment Inc.,LYV,0.024812,45.50,-0.94,-2.02
448,Interpublic Group of Companies Inc.,IPG,0.024758,16.98,0.01,0.06
449,Molson Coors Beverage Company Class B,TAP,0.024535,34.32,-0.34,-0.98
450,Pentair plc,PNR,0.024459,39.21,0.76,1.98
451,Rollins Inc.,ROL,0.023916,44.46,-0.44,-0.98
452,Diamondback Energy Inc.,FANG,0.023712,37.15,-1.78,-4.57
453,CF Industries Holdings Inc.,CF,0.023238,29.75,1.63,5.8
454,Assurant Inc.,AIZ,0.023007,100.17,-0.2,-0.2
455,Newell Brands Inc,NWL,0.022745,15.72,-0.09,-0.54
456,Robert Half International Inc.,RHI,0.022551,51.55,0.87,1.72
457,Franklin Resources Inc.,BEN,0.022534,20.86,-0.24,-1.14
458,American Airlines Group Inc.,AAL,0.022531,11.60,-0.34,-2.85
459,Howmet Aerospace Inc.,HWM,0.022473,15.23,-0.1,-0.65
460,Discovery Inc. Class C,DISCK,0.021721,18.25,0.18,0.97
461,IPG Photonics Corporation,IPGP,0.021651,159.24,-2.38,-1.47
462,Vornado Realty Trust,VNO,0.021581,36.80,0.8,2.22
463,Federal Realty Investment Trust,FRT,0.021092,79.86,-0.09,-0.11
464,Apartment Investment & Management Co Class A,AIV,0.020923,37.30,0.11,0.3
465,Zions Bancorporation N.A.,ZION,0.020819,32.88,0.67,2.08
466,FLIR Systems Inc.,FLIR,0.020445,39.75,-0.55,-1.35
467,Sealed Air Corporation,SEE,0.019985,34.02,0.19,0.56
468,Quanta Services Inc.,PWR,0.019792,37.31,0.51,1.39
469,Comerica Incorporated,CMA,0.019537,36.00,0.23,0.64
470,Nielsen Holdings Plc,NLSN,0.019386,14.70,0.07,0.48
471,Kimco Realty Corporation,KIM,0.019011,12.10,0.0,0.0
472,People's United Financial Inc.,PBCT,0.018751,11.35,0.22,1.98
473,Apache Corporation,APA,0.017979,12.53,-0.18,-1.42
474,Leggett & Platt Incorporated,LEG,0.017062,34.70,-0.2,-0.57
475,News Corporation Class A,NWSA,0.016924,11.93,-0.03,-0.25
476,Alaska Air Group Inc.,ALK,0.016637,34.76,-0.97,-2.71
477,Noble Energy Inc.,NBL,0.016408,8.68,-0.33,-3.61
478,Marathon Oil Corporation,MRO,0.016284,5.15,-0.2,-3.74
479,Mosaic Company,MOS,0.016221,12.95,0.65,5.28
480,National Oilwell Varco Inc.,NOV,0.016216,11.06,-0.17,-1.51
481,Norwegian Cruise Line Holdings Ltd.,NCLH,0.015976,15.62,-0.78,-4.76
482,Mohawk Industries Inc.,MHK,0.01597,70.85,0.38,0.54
483,Hanesbrands Inc.,HBI,0.015674,11.45,0.02,0.17
484,HollyFrontier Corporation,HFC,0.015466,26.95,-0.61,-2.21
485,Fox Corporation Class B,FOX,0.015343,25.00,-0.39,-1.54
486,SL Green Realty Corp.,SLG,0.015019,48.87,0.76,1.58
487,DXC Technology Co.,DXC,0.014989,15.50,0.01,0.06
488,Devon Energy Corporation,DVN,0.014955,9.79,-0.4,-3.93
489,Invesco Ltd.,IVZ,0.014847,10.51,-0.02,-0.19
490,L Brands Inc.,LB,0.0135,16.27,0.34,2.13
491,Flowserve Corporation,FLS,0.013448,28.32,0.51,1.83
492,Tapestry Inc.,TPR,0.013194,12.72,0.1,0.79
493,Ralph Lauren Corporation Class A,RL,0.013001,69.75,0.77,1.12
494,Unum Group,UNM,0.012995,16.66,0.21,1.28
495,Kohl's Corporation,KSS,0.012709,20.59,-0.5,-2.37
496,PVH Corp.,PVH,0.01243,45.01,0.64,1.44
497,Discovery Inc. Class A,DISCA,0.012038,20.60,0.37,1.83
498,TechnipFMC Plc,FTI,0.011221,7.20,0.14,1.98
499,Xerox Holdings Corporation,XRX,0.010884,15.81,0.32,2.07
500,H&R Block Inc.,HRB,0.010301,14.50,0.54,3.87
501,Gap Inc.,GPS,0.009494,11.20,-0.45,-3.86
502,Under Armour Inc. Class A,UAA,0.006537,9.30,-0.22,-2.31
503,Under Armour Inc. Class C,UA,0.006321,8.40,-0.23,-2.67
504,News Corporation Class B,NWS,0.005593,11.96,-0.02,-0.17
505,Coty Inc. Class A,COTY,0.004799,4.20,-0.02,-0.47
