,Company,Symbol,Weight,Price,Chg,% Chg,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,latitude,longitude,change_jan_to_apr,change_jan_to_jul
19,Walt Disney Company,DIS,0.8191039999999999,116.2,-3.14,-2.63,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",30/06/1976,1001039,,34.181648200000005,-118.3258554,-0.35951417004048575,-0.23744939271255053
20,AT&T Inc.,T,0.8157439999999999,29.75,-0.38,-1.26,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),32.7762719,-96.7968559,-0.2781780751415337,-0.2305712815234174
21,PayPal Holdings Inc,PYPL,0.7959649999999999,171.7,-6.7,-3.76,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",20/07/2015,1633917,1998,37.3361905,-121.89058329999999,-0.17489841986455987,0.602076749435666
22,Cisco Systems Inc.,CSCO,0.751918,46.18,-0.48,-1.03,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,858877,,37.3361905,-121.89058329999999,-0.20838496489054117,-0.04874019000413051
23,Merck & Co. Inc.,MRK,0.735717,78,1.27,1.66,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",,310158,1891,40.676022499999995,-74.289262,-0.198174706649283,-0.15123859191655803
24,Pfizer Inc.,PFE,0.714073,35.4,1.57,4.64,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",,78003,1849,40.7127281,-74.0060152,-0.18880940214614206,-0.13796627491057736
25,Bank of America Corp,BAC,0.712666,24.1,0.08,0.33,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858,,35.2272,-80.843083,-0.4452861952861953,-0.34736251402918067
26,PepsiCo Inc.,PEP,0.708154,135.02,0.56,0.42,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898,41.0409305,-73.71457459999999,-0.13031954056839928,-0.02547489324105419
27,Walmart Inc.,WMT,0.703128,129.5,-1.18,-0.9,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/08/1982,104169,,36.372853799999994,-94.2088172,-0.04035648225996298,0.00630570035311922
28,Comcast Corporation Class A,CMCSA,0.701121,40.5,-0.01,-0.02,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",18/09/2015,1166691,,39.9527237,-75.16352619999999,-0.28543090147674666,-0.1249724487546836
29,Exxon Mobil Corporation,XOM,0.685245,42.5,-0.15,-0.35,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999,32.829518300000004,-96.9442177,-0.4706629055007052,-0.3834978843441467
30,salesforce.com inc.,CRM,0.680894,189.81,-9.07,-4.56,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",15/09/2008,1108524,,37.779026200000004,-122.4199061,-0.19719743697227382,0.14911072519312518
31,Coca-Cola Company,KO,0.663165,45.21,0.06,0.13,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,1886,33.749098700000005,-84.39018490000001,-0.23404255319148945,-0.1849427168576105
32,AbbVie Inc.,ABBV,0.64844,98.04,1.21,1.25,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888),42.325578,-87.8411818,-0.1801228364042434,0.10709101060859859
33,Abbott Laboratories,ABT,0.6253569999999999,93.3,0.26,0.28,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1800,1888,42.325578,-87.8411818,-0.11937895342150671,0.0539390454284071
34,Chevron Corporation,CVX,0.604647,85.27,0.04,0.05,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879,37.7799273,-121.9780153,-0.4353948777073211,-0.2784320184468418
35,Thermo Fisher Scientific Inc.,TMO,0.574144,378.93,-3.64,-0.95,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745,2006 (1902),42.3756401,-71.2358004,-0.15678524374176553,0.10233783742378275
36,Amgen Inc.,AMGN,0.556687,251.18,2.14,0.86,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",02/01/1992,318154,1980,34.17142715,-118.91058770000001,-0.1761349437734277,0.06255726780508127
37,Costco Wholesale Corporation,COST,0.54733,323.19,-3.04,-0.93,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",01/10/1993,909832,,47.5348778,-122.04329740000001,-0.01615835877731667,0.04549041133486566
38,Accenture Plc Class A,ACN,0.5331640000000001,215.72,-4.54,-2.06,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989,53.3497645,-6.2602732,-0.26395431834404,0.021127765881513192
39,McDonald's Corporation,MCD,0.522359,185.44,0.56,0.3,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",30/06/1970,63908,1940,41.875561600000005,-87.6244212,-0.2122615668110962,-0.08033268589073159
40,Eli Lilly and Company,LLY,0.521319,161,-2.36,-1.44,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/1970,59478,1876,39.7683331,-86.1583502,0.03184327963089009,0.2351561909084033
41,Bristol-Myers Squibb Company,BMY,0.49378199999999994,57.63,0.2,0.35,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989,40.7127281,-74.0060152,-0.1345121566150932,-0.0617303441742975
42,Broadcom Inc.,AVGO,0.48526899999999995,311.75,-7.69,-2.41,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",08/05/2014,1730168,1961,37.3361905,-121.89058329999999,-0.30633704519370947,-0.02996370855175399
43,NextEra Energy Inc.,NEE,0.48281499999999994,253.88,-5.72,-2.2,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",30/06/1976,753308,,26.879781899999998,-80.0533743,-0.08544966892967905,0.03201743357639756
44,Medtronic Plc,MDT,0.462761,93.77,2.96,3.26,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",31/10/1986,1613103,1949,53.3497645,-6.2602732,-0.2657995810055866,-0.1941340782122906
45,NIKE Inc. Class B,NKE,0.46115600000000007,96.79,-1.2,-1.22,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30/11/1988,320187,,45.5601883,-123.05879070000002,-0.22475538160469666,-0.04696673189823872
46,Texas Instruments Incorporated,TXN,0.455212,129.25,-1.28,-0.98,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,32.7762719,-96.7968559,-0.25221887782665736,-0.036814077332715876
47,Oracle Corporation,ORCL,0.45389300000000005,57.12,-0.27,-0.47,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",31/08/1989,1341439,,37.5318804,-122.2480219,-0.09712696941612607,0.02854494902687672
48,Linde plc,LIN,0.45092899999999997,225.82,-0.13,-0.06,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",01/07/1992,1707925,1879,51.2356068,-0.5732063000000001,-0.23664230805732184,0.019123090063585466
49,American Tower Corporation,AMT,0.44529799999999997,256.84,-7.51,-2.84,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1053507,1995,42.3602534,-71.0582912,-0.09422319474835887,0.16144420131291023
