Date,Open,High,Low,Close,Adj Close,Volume
30/09/2019,2967.070068,2992.530029,2855.939941,2952.01001,2952.01001,17212640000
07/10/2019,2944.22998,2993.280029,2892.659912,2970.27002,2970.27002,15821120000
14/10/2019,2965.810059,3008.290039,2962.939941,2986.199951,2986.199951,15500580000
21/10/2019,2996.47998,3027.389893,2991.209961,3022.550049,3022.550049,17251350000
28/10/2019,3032.120117,3066.949951,3023.189941,3066.909912,3066.909912,18956670000
04/11/2019,3078.959961,3097.77002,3065.889893,3093.080078,3093.080078,20734960000
11/11/2019,3080.330078,3120.459961,3075.820068,3120.459961,3120.459961,16622540000
18/11/2019,3117.909912,3127.639893,3091.409912,3110.290039,3110.290039,18008990000
25/11/2019,3117.439941,3154.26001,3117.439941,3140.97998,3140.97998,12883230000
02/12/2019,3143.850098,3150.600098,3070.330078,3145.909912,3145.909912,17452390000
09/12/2019,3141.860107,3182.679932,3126.090088,3168.800049,3168.800049,17669880000
16/12/2019,3183.629883,3225.649902,3183.629883,3221.219971,3221.219971,22078130000
23/12/2019,3226.050049,3247.929932,3220.51001,3240.02002,3240.02002,8946500000
30/12/2019,3240.090088,3258.139893,3212.030029,3234.850098,3234.850098,12826640000
06/01/2020,3217.550049,3282.98999,3214.639893,3265.350098,3265.350098,17666700000
13/01/2020,3271.129883,3329.879883,3268.429932,3329.620117,3329.620117,18071600000
20/01/2020,3321.030029,3337.77002,3281.530029,3295.469971,3295.469971,15197180000
27/01/2020,3247.159912,3293.469971,3214.679932,3225.52002,3225.52002,19249400000
03/02/2020,3235.659912,3347.959961,3235.659912,3327.709961,3327.709961,19469980000
10/02/2020,3318.280029,3385.090088,3317.77002,3380.159912,3380.159912,18033560000
17/02/2020,3369.040039,3393.52002,3328.449951,3337.75,3337.75,15253460000
24/02/2020,3257.610107,3259.810059,2855.840088,2954.219971,2954.219971,31535270000
02/03/2020,2974.280029,3136.719971,2901.540039,2972.370117,2972.370117,29895510000
09/03/2020,2863.889893,2882.590088,2478.860107,2711.02002,2711.02002,40521170000
16/03/2020,2508.590088,2562.97998,2280.52002,2304.919922,2304.919922,41887220000
23/03/2020,2290.709961,2637.01001,2191.860107,2541.469971,2541.469971,37182690000
30/03/2020,2558.97998,2641.389893,2447.48999,2488.649902,2488.649902,30804590000
06/04/2020,2578.280029,2818.570068,2574.570068,2789.820068,2789.820068,27169090000
13/04/2020,2782.459961,2879.219971,2721.169922,2874.560059,2874.560059,27017230000
20/04/2020,2845.620117,2868.97998,2727.100098,2836.73999,2836.73999,26476650000
27/04/2020,2854.649902,2954.860107,2821.610107,2830.709961,2830.709961,28763560000
04/05/2020,2815.01001,2932.159912,2797.850098,2929.800049,2929.800049,24736450000
11/05/2020,2915.459961,2945.820068,2766.639893,2863.699951,2863.699951,27177120000
18/05/2020,2913.860107,2980.290039,2913.860107,2955.449951,2955.449951,25246330000
25/05/2020,3004.080078,3068.669922,2969.75,3044.310059,3044.310059,24886040000
01/06/2020,3038.780029,3211.719971,3031.540039,3193.929932,3193.929932,30895920000
08/06/2020,3199.919922,3233.129883,2984.469971,3041.310059,3041.310059,34241980000
15/06/2020,2993.76001,3155.530029,2965.659912,3097.73999,3097.73999,28876100000
22/06/2020,3094.419922,3154.899902,3004.629883,3009.050049,3009.050049,27870950000
29/06/2020,3018.590088,3053.889893,2999.73999,3053.23999,3053.23999,4462770000
